                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                 1.1991,                 1.0461,                 1.2359,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.1874,                 1.0731,                 1.2322,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.1611,                 1.0312,                 1.2165,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.1634,                 1.0435,                 1.2217,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.1679,                 1.0156,                 1.2076,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.1703,                 1.0166,                 1.2091,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.1479,                 1.0137,                 1.1972,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.1685,                 1.0446,                 1.2181,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.1492,                 1.0231,                  1.197,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00076409,             0.00076409,             0.00076409
                     49,                 1.1423,                 1.0088,                 1.2082,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.1616,                 1.0144,                 1.2062,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.1257,                0.99229,                 1.1882,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.1472,                0.98435,                 1.2039,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.1392,                0.99094,                 1.2001,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.1202,                 0.9698,                 1.1897,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.1441,                0.99305,                 1.1936,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.1173,                0.96217,                 1.1739,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.1069,                0.93037,                 1.1663,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.1076,                0.92398,                 1.1683,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.1215,                0.95918,                 1.1818,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.1083,                0.94917,                 1.1732,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.0978,                 0.9582,                 1.1608,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
                     62,                 1.1032,                0.92442,                 1.1693,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00056603,             0.00056603,             0.00056603
                     63,                 1.0861,                0.91176,                 1.1516,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.0942,                0.93526,                  1.167,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00053773,             0.00053773,             0.00053773
                     65,                 1.0933,                0.93276,                 1.1718,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00052359,             0.00052359,             0.00052359
